month,day,year,time,actual,forecast,previous,datetime
Nov,18,2020, 18:30,0.768,1.65,4.278,2020-11-18 18:30:00
Nov,12,2020, 19:00,4.278,-0.913,-7.998,2020-11-12 19:00:00
Nov,4,2020, 18:30,-7.998,0.89,4.32,2020-11-04 18:30:00
Oct,28,2020, 17:30,4.32,1.23,-1.001,2020-10-28 17:30:00
Oct,21,2020, 17:30,-1.001,-1.021,-3.818,2020-10-21 17:30:00
Oct,15,2020, 18:00,-3.818,-2.835,0.501,2020-10-15 18:00:00
Oct,7,2020, 17:30,0.501,0.294,-1.98,2020-10-07 17:30:00
Sep,30,2020, 17:30,-1.98,1.569,-1.639,2020-09-30 17:30:00
Sep,23,2020, 17:30,-1.639,-2.325,-4.389,2020-09-23 17:30:00
Sep,16,2020, 17:30,-4.389,1.271,2.032,2020-09-16 17:30:00
Sep,10,2020, 18:00,2.032,-1.335,-9.362,2020-09-10 18:00:00
Sep,2,2020, 17:30,-9.362,-1.887,-4.689,2020-09-02 17:30:00
Aug,26,2020, 17:30,-4.689,-3.694,-1.632,2020-08-26 17:30:00
Aug,19,2020, 17:30,-1.632,-2.67,-4.512,2020-08-19 17:30:00
Aug,12,2020, 17:30,-4.512,-2.875,-7.373,2020-08-12 17:30:00
Aug,5,2020, 17:30,-7.373,-3.001,-10.612,2020-08-05 17:30:00
Jul,29,2020, 17:30,-10.612,0.357,4.892,2020-07-29 17:30:00
Jul,22,2020, 17:30,4.892,-2.088,-7.493,2020-07-22 17:30:00
Jul,15,2020, 17:30,-7.493,-2.098,5.654,2020-07-15 17:30:00
Jul,8,2020, 17:30,5.654,-3.114,-7.195,2020-07-08 17:30:00
Jul,1,2020, 17:30,-7.195,-0.71,1.442,2020-07-01 17:30:00
Jun,24,2020, 17:30,1.442,0.299,1.215,2020-06-24 17:30:00
Jun,17,2020, 17:30,1.215,-0.152,5.72,2020-06-17 17:30:00
Jun,10,2020, 17:30,5.72,-1.738,-2.077,2020-06-10 17:30:00
Jun,3,2020, 17:30,-2.077,3.038,7.928,2020-06-03 17:30:00
May,28,2020, 18:00,7.928,-1.944,-4.983,2020-05-28 18:00:00
May,20,2020, 17:30,-4.983,1.151,-0.745,2020-05-20 17:30:00
May,13,2020, 17:30,-0.745,4.147,4.59,2020-05-13 17:30:00
