Year,01,02,03,04,05,06,07,08,09,10,11,12
1963,6.690757704068109,6.690757704068109,6.723080205053947,6.723080205053947,6.723080205053947,6.755402706039783,6.787725207025619,6.787725207025619,6.787725207025619,6.8200477080114545,6.8200477080114545,6.852370208997291
1964,6.852370208997291,6.852370208997291,6.852370208997291,6.852370208997291,6.852370208997291,6.8846927099831285,6.917015210968964,6.8846927099831285,6.917015210968964,6.917015210968964,6.949337711954801,6.949337711954801
1965,6.949337711954801,6.949337711954801,6.981660212940636,7.013982713926473,7.013982713926473,7.078627715898146,7.078627715898146,7.078627715898146,7.078627715898146,7.110950216883981,7.110950216883981,7.143272717869818
1966,7.143272717869818,7.2079177198414905,7.240240220827328,7.304885222798998,7.304885222798998,7.337207723784835,7.369530224770672,7.4341752267423455,7.4341752267423455,7.498820228714016,7.498820228714016,7.498820228714016
1967,7.498820228714016,7.498820228714016,7.531142729699853,7.56346523068569,7.595787731671527,7.628110232657362,7.660432733643198,7.692755234629035,7.725077735614871,7.757400236600709,7.789722737586542,7.82204523857238
1968,7.886690240544053,7.919012741529889,7.951335242515724,7.983657743501562,8.015980244487398,8.080625246459071,8.14527024843074,8.17759274941658,8.209915250402416,8.274560252374087,8.306882753359924,8.33920525434576
1969,8.371527755331597,8.436172757303268,8.533140260260778,8.597785262232449,8.630107763218287,8.69475276518996,8.75939776716163,8.824042769133305,8.856365270119142,8.921010272090813,8.985655274062486,9.050300276034159
1970,9.082622777019994,9.147267778991667,9.211912780963342,9.30888028392085,9.341202784906685,9.405847786878356,9.470492788850029,9.470492788850029,9.535137790821704,9.599782792793375,9.664427794765048,9.72907279673672
1971,9.72907279673672,9.761395297722556,9.793717798708393,9.826040299694231,9.8906853016659,9.98765280462341,10.019975305609249,10.052297806595083,10.052297806595083,10.084620307580918,10.084620307580918,10.149265309552593
1972,10.149265309552593,10.213910311524263,10.246232812510101,10.278555313495936,10.310877814481774,10.34320031546761,10.407845317439284,10.440167818425117,10.472490319410957,10.537135321382625,10.569457822368463,10.601780323354298
1973,10.634102824340138,10.731070327297646,10.860360331240988,10.9573278341985,11.05429533715601,11.151262840113517,11.18358534109935,11.442165348986045,11.47448784997188,11.603777853915226,11.700745356872734,11.797712859830241
